,energy_list,real_Ni,imag_Ni,real_NiO,imag_NiO,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
0,848.9,-0.0005422330227822519,0.00026096328607047125,-0.00011221071504246104,0.0008162540998758752,4.211164637764449e-05,3.7152748154227934e-05,7.450163866450177e-06,8.463588148387115e-06,9.491526735717966e-07,1.8829777658689327e-06,1.4640500753042305e-06,1.4864000235147083e-06,1.0911884593329953e-06,1.2382176832154623e-06,3.7453564730043973e-07,4.392599348829279e-07,2.3895931346124153e-07,3.304698088613996e-07,2.3480021148644145e-07,2.2530410491409765e-07
1,849.2,-0.000687570994565511,0.00028787433647872127,-0.0003883615790622979,0.0009031207225934483,5.486371493944088e-05,4.66034669741771e-05,1.1586255297306958e-05,1.0054560166496703e-05,1.8717354299874715e-06,2.25564269394116e-06,1.966030212947664e-06,2.0353951283197953e-06,1.6174422840538552e-06,1.560899190776734e-06,3.60864591436048e-07,4.828255581155462e-07,3.3725159407296934e-07,3.7393599905593357e-07,2.648463595251786e-07,2.627047530018577e-07
2,849.5,-0.0008902410297741697,0.00033889190716602125,-0.0008340674554474203,0.0010102764495730178,6.778826926244364e-05,6.672961066144333e-05,1.4551434720790493e-05,1.3507302286369233e-05,2.1213526167115117e-06,3.055055444036592e-06,2.9317149867755393e-06,3.227843696210683e-06,1.979897442357139e-06,2.2491406352286514e-06,2.699378713042447e-07,5.809266218737367e-07,6.717837400511126e-07,4.673546706550949e-07,3.310769773432399e-07,3.429603701481224e-07
3,849.8,-0.0011619881612178267,0.0004771621125829072,-0.0012966346468908216,0.001182651812369311,0.00011729157073535569,0.00010054637407059485,2.502310971961101e-05,1.9574677084093412e-05,3.8405400226956856e-06,4.435272901408533e-06,5.392022884961645e-06,5.159840125770052e-06,3.6567100286887763e-06,3.3911279473978165e-06,8.985037145922998e-07,7.657809327867252e-07,7.303140110199325e-07,6.300786071659959e-07,5.058347473192873e-07,4.745782255881932e-07
4,850.1,-0.0015088010568236796,0.0007264303383580013,-0.0014882313954380374,0.0016008579536714292,0.00015450430680710725,0.00014673690420754156,3.0114470873097593e-05,2.8585428062828844e-05,6.3126371151465015e-06,6.433160656207841e-06,7.090205597392202e-06,7.451846045975139e-06,4.200475863171055e-06,4.894674097872596e-06,7.058051651948987e-07,1.0710116575102112e-06,6.075651069634826e-07,8.700445286163473e-07,3.7762344134742327e-07,6.403631649481287e-07
5,850.2,-0.0016200031319935295,0.0009316022114154716,-0.0014501757312745701,0.0018480485212256314,0.00017106969217447666,0.00016543296161917597,3.5899633149692055e-05,3.224582927711562e-05,6.429237927688432e-06,7.243898880860247e-06,7.704627378276777e-06,8.373012676087269e-06,4.35818549326715e-06,5.502196967166885e-06,1.4921541013191685e-06,1.195517838447799e-06,7.85611680250013e-07,9.674991628383638e-07,3.921531774703648e-07,7.072034944541027e-07
6,850.3,-0.0016760939291116676,0.001112345315361889,-0.0013564479436749585,0.0021617246089664656,0.0002107320862868693,0.00019919873217168755,4.419161379740591e-05,3.9511103248959216e-05,7.469001950125149e-06,8.810312804436923e-06,1.0045367507672887e-05,9.719336689474252e-06,6.256817344368575e-06,6.548077174749885e-06,1.3128242121924212e-06,1.4680602688227869e-06,7.038616574588696e-07,1.1595676526360822e-06,5.695021947660542e-07,8.151411173961112e-07
7,850.4,-0.0017266527239705274,0.0013021372877147202,-0.0012100707430037622,0.0025356834013725536,0.0002568606383833686,0.0002500866906077972,5.425183247075795e-05,5.07632784763006e-05,1.0701705177929716e-05,1.121600421837546e-05,1.268089341884121e-05,1.163087696389181e-05,7.605341056887724e-06,8.103853135419081e-06,1.929683448000408e-06,1.9011942968100714e-06,1.4518349700463283e-06,1.4560693411544365e-06,6.897669803300987e-07,9.729038350042708e-07
8,850.5,-0.0017415365741506774,0.0015502838782797826,-0.0010174470314644377,0.0029490729576260046,0.00031773275724317,0.00031289464409533574,6.771008583853492e-05,6.448577139187105e-05,1.2845105143944627e-05,1.4157958791877842e-05,1.6745477952252787e-05,1.4088422689111942e-05,9.452710935046949e-06,1.0039050600913067e-05,2.547187643489358e-06,2.42393959177265e-06,1.103710040935508e-06,1.817722559012915e-06,1.1433295168747767e-06,1.1714676664083467e-06
9,850.6,-0.001720086438406849,0.0017906766332649268,-0.0007874293257385207,0.00336607044334071,0.0003493342433573544,0.0003892543309839345,7.768144982672162e-05,8.126044508045936e-05,1.539076153603623e-05,1.774733228836198e-05,1.7481099711642173e-05,1.7052444914338622e-05,1.1128919744230525e-05,1.2386932624523996e-05,4.006217607190132e-06,3.0663614953692223e-06,1.5278974278608998e-06,2.259374694885654e-06,1.4587976407412362e-06,1.4117928132177754e-06
