,energy_list,real_Ni,imag_Ni,real_NiO,imag_NiO,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
0,848.9,-9.863773246425316e-05,9.874501605616461e-05,0.0010063300648345277,0.0010511313145017622,3.740608679442439e-05,3.93184108549456e-05,6.7756866941404495e-06,6.615545038154355e-06,1.0261195588023596e-06,1.9167814914444474e-06,1.303879666751598e-06,1.722709780151031e-06,1.065451947012406e-06,1.2823833728301385e-06,3.9334893989716086e-07,4.177112105147927e-07,4.6664299522592726e-07,3.4308305616864886e-07,2.3326302942067853e-07,2.0964884429983883e-07
1,849.2,-0.00013921336150697926,0.00010436430591561438,0.0011328661071932614,0.0011489514047509496,5.515334402851337e-05,4.951477408211294e-05,1.1906306405838196e-05,8.277478723730745e-06,1.8948100538571181e-06,2.383082227210247e-06,2.2277548517993e-06,2.149024696800745e-06,9.057893848300908e-07,1.5849162516972505e-06,5.37319689559834e-07,4.927776677655828e-07,2.625606738004804e-07,4.012940184479293e-07,2.520391474412953e-07,2.337773133626405e-07
2,849.5,-0.00018162663678926148,0.00011450429467332468,0.0012728325741516175,0.0013316891604068877,8.272521843165772e-05,6.602055236473188e-05,1.725435619925862e-05,1.1014671020228233e-05,2.5006770588019814e-06,3.140057901039814e-06,3.2516392662785996e-06,2.8236044765776384e-06,1.529320373232784e-06,2.0746829434135493e-06,4.235340746150813e-07,6.18614511084883e-07,3.5017810920417766e-07,4.95544643548688e-07,2.5207291849978867e-07,2.718017398159817e-07
3,849.8,-0.00023379509029035003,0.000122200060621496,0.0013968453674150503,0.0017425071243127015,0.00011211963671969012,9.944273404026679e-05,2.4141964188930494e-05,1.6655504654229672e-05,3.4214427316296255e-06,4.6772971483308844e-06,4.9325535656822774e-06,4.157253132876214e-06,2.978626916015251e-06,3.06646211213337e-06,8.014978875515317e-07,8.824819681902424e-07,7.742397012269434e-07,6.864310264235357e-07,4.7632025159731575e-07,3.4664569924978945e-07
4,850.1,-0.0002966620306502215,0.00013476140518167899,0.001275603712803974,0.002567295800132887,0.0001651054967287763,0.00016646894939225786,3.7945075012385094e-05,2.8228892371802762e-05,6.448762013490231e-06,7.771753578999319e-06,7.685312235871026e-06,6.749610357515261e-06,3.5831061705769575e-06,5.0555813688368115e-06,1.4830690944272944e-06,1.4356826166421282e-06,7.438744526020226e-07,1.0693494425719362e-06,9.214831827811689e-07,4.912619447754842e-07
5,850.2,-0.0003196715243744196,0.0001390535620316082,0.001070148769854646,0.00294359966376376,0.00019523093384045243,0.0001991260161903064,4.0518143987751756e-05,3.3971060806988124e-05,6.9578501648103335e-06,9.283973956066464e-06,9.143091407033932e-06,7.981503635341866e-06,4.676479124890856e-06,6.024802116441291e-06,1.4360615265269338e-06,1.7147170532721405e-06,6.578818085047098e-07,1.2559603965699708e-06,7.851648882847761e-07,5.596432678925089e-07
6,850.3,-0.00034704611745639183,0.00014402430213097527,0.0007345963934663813,0.003356495781774901,0.00027789794162529975,0.00023968963809761602,6.090387873245902e-05,4.1162424120689486e-05,1.163521009449798e-05,1.1164835138818547e-05,1.3569574414521006e-05,9.494799882095383e-06,6.96687756347123e-06,7.2287173012562985e-06,3.1820779300050193e-06,2.066725011341945e-06,1.4241600562938559e-06,1.4877755436528382e-06,9.01647050894603e-07,6.43455043074433e-07
7,850.4,-0.0003769150711150699,0.00014975147154179844,0.0002656467790221103,0.0037870118439217544,0.0002932865332019341,0.0002920225122615931,6.332210842209078e-05,5.0478029526145194e-05,1.3446761249939405e-05,1.3592962040799862e-05,1.4800211921005528e-05,1.143745551221967e-05,9.434631766715258e-06,8.781964658416172e-06,2.353950703263614e-06,2.524323410000448e-06,8.397505787608064e-07,1.7868655897254945e-06,1.1320980452833324e-06,7.509340640337341e-07
8,850.5,-0.00041109524178085797,0.00015971734336406892,-0.00030141474236795277,0.00420992437670698,0.0003393122099643442,0.0003593987523759832,7.585443145538937e-05,6.247591101068238e-05,1.4140172507628144e-05,1.6719153466345928e-05,1.721683987008938e-05,1.3938979579210983e-05,9.400262463966818e-06,1.0781704796468438e-05,3.4601953401184575e-06,3.1138587055823233e-06,1.4264330747303594e-06,2.1719324050432114e-06,1.402589616826631e-06,8.893356205030989e-07
9,850.6,-0.0004501883246957258,0.00017048148421415954,-0.0008884597908693623,0.004596010118232446,0.0003746366248229877,0.00043997153000479785,8.849462779327983e-05,7.678206348960813e-05,1.8470958953541785e-05,2.0455771844819663e-05,2.0389409521619107e-05,1.6944000115768762e-05,1.2415605505816011e-05,1.3173094652516032e-05,3.9731982174942515e-06,3.8150230638623425e-06,2.6777652665688436e-06,2.6324025952194817e-06,1.832909855090345e-06,1.05574694048318e-06
10,850.7,-0.0004931773040365761,0.00018275914915061954,-0.0013874261387246652,0.004915415300630038,0.00043481324743390533,0.0005213173561879618,0.0001065725400518567,9.119688833922171e-05,2.3939274532610206e-05,2.4226972595281762e-05,2.4335205943940686e-05,1.998679453886652e-05,1.4324052255537325e-05,1.558741044490144e-05,4.686459126494038e-06,4.520283410401027e-06,3.4970286244727606e-06,3.0972790089027047e-06,1.978370200024769e-06,1.2243510251690697e-06
11,850.8,-0.0005404928470310107,0.00021170932433021102,-0.0016850730037826136,0.005141635394043857,0.00045782355638660833,0.0005809039586849043,0.0001221154055878758,0.000101845285694616,2.486553991067508e-05,2.6993232649708035e-05,2.492608777608232e-05,2.2190132935212144e-05,1.6328217070168227e-05,1.735597737693189e-05,6.304368328417683e-06,5.045105888896487e-06,3.4819394911176227e-06,3.4378419824661857e-06,2.3871122279297825e-06,1.3461495946766813e-06
12,850.9,-0.0005856008106431393,0.0002428585019856621,-0.0016924378500351375,0.005255377826741525,0.0004776429596217411,0.0006010905898715639,0.00012447804861639137,0.00010553146260050284,2.6096335083526832e-05,2.7933745857460898e-05,2.991528319912511e-05,2.2914057935321438e-05,1.6834864381713136e-05,1.7955179452756437e-05,6.1711934899345805e-06,5.2301371236666516e-06,3.7449509434858176e-06,3.553249392826206e-06,1.7074474136915208e-06,1.3859084683809255e-06
13,851.0,-0.0006365305596268925,0.00027648296955311676,-0.0013804709165380412,0.00524752628755404,0.000445857404239658,0.0005775195799876245,0.0001145344843769916,0.00010144000375644624,2.578575116571029e-05,2.684465699603213e-05,2.4433534047725467e-05,2.2007698441850655e-05,1.585681159055257e-05,1.72556547627893e-05,5.134997793933443e-06,5.033627872665515e-06,3.8897226122308526e-06,3.4185803189672597e-06,1.8483694834899642e-06,1.3354060099055037e-06
14,851.1,-0.0006993575501187548,0.0003141986500440093,-0.000808639187827637,0.005120571884478709,0.000435457946230371,0.0005257413225829259,0.00010426721272615125,9.222116093343675e-05,2.645299612121124e-05,2.444237310556712e-05,2.4842360459442548e-05,2.0082993135069403e-05,1.3931741683486604e-05,1.571886609069655e-05,6.091993784369449e-06,4.580720161676745e-06,3.5826994916613404e-06,3.122659358402445e-06,2.0257266689498696e-06,1.228894322377599e-06
15,851.2,-0.0007605296718402714,0.00037984034070447364,-0.00010899458171525654,0.004888196062773438,0.0003888843394097988,0.0004667738300562689,8.947106958059137e-05,8.163561783958514e-05,2.2614650993909665e-05,2.1702805633860008e-05,2.103738944299083e-05,1.7916326052896927e-05,1.2852724165160282e-05,1.3968644131398653e-05,4.872628477343166e-06,4.0569602344556764e-06,2.9415669263803585e-06,2.785615339417346e-06,2.325892724864538e-06,1.1092812661487027e-06
16,851.3,-0.0008101482805375145,0.0004793009844890518,0.0005767941667884058,0.00457309817219801,0.00033140633485597695,0.00041389597872093286,6.783662580633387e-05,7.209243798292963e-05,1.901602554829025e-05,1.9243928434546175e-05,1.6552777144277777e-05,1.5988871600053423e-05,1.0402898761274217e-05,1.239913737800844e-05,3.878166443168063e-06,3.5826149878105776e-06,2.5800381849768097e-06,2.483357439039791e-06,1.0330629453902893e-06,1.0030518720263136e-06
17,851.4,-0.000838023296202262,0.0005691235064117787,0.0011535027235282712,0.004203542344450274,0.00033867100549554117,0.00037159427941125996,6.978698339610237e-05,6.431219060948596e-05,1.9210240400007752e-05,1.7270477480416868e-05,1.7306954332041414e-05,1.4491011141365487e-05,1.1985242893113652e-05,1.1143456636755377e-05,4.395176340273366e-06,3.1897333080527323e-06,2.100739899653567e-06,2.241494757953632e-06,1.6285783342451315e-06,9.210101632885433e-07
18,851.5,-0.0008594261586728038,0.0006695327309085748,0.0015847530454286545,0.003809348269816373,0.0002919567857542881,0.0003344530443789578,5.419064070245665e-05,5.7508920112860136e-05,1.498308043627573e-05,1.5538864225170346e-05,1.515393207184396e-05,1.3169522782011458e-05,8.832105061076947e-06,1.0040977201988723e-05,3.918849006980916e-06,2.8473276400938793e-06,1.932836168848974e-06,2.0291486522885503e-06,1.599864265828571e-06,8.485502527522829e-07
