,order_list,energy_list,theta_list,file_list,intensity_list,x_list,y_list
0,-4,285.2,-95.0,Captured Image 1213180323.fits,79.06164614298791,536.0,61.0
1,-4,285.2,-90.0,Captured Image 1213180057.fits,116.92589226491248,535.0,58.0
2,-4,285.2,-90.0,Captured Image 1213181557.fits,106.91541369623718,535.0,58.0
3,-4,285.2,-85.0,Captured Image 1213180713.fits,158.84534043168,534.0,50.0
4,-4,285.2,-80.0,Captured Image 1213180838.fits,164.24351021876555,533.0,39.0
5,-4,285.2,-75.0,Captured Image 1213181114.fits,156.86007025397248,532.0,23.0
6,-4,285.2,-70.0,Captured Image 1213181332.fits,82.2797992153172,531.0,3.0
7,-4,288.6,-95.0,Captured Image 1213180423.fits,53.291075607262925,536.0,67.0
8,-4,288.6,-90.0,Captured Image 1213180150.fits,69.87731609626739,535.0,63.0
9,-4,288.6,-90.0,Captured Image 1213181634.fits,77.0832181760877,535.0,63.0
10,-4,288.6,-85.0,Captured Image 1213180531.fits,75.4926971034596,535.0,56.0
11,-4,288.6,-80.0,Captured Image 1213180921.fits,99.4338769221863,533.0,45.0
12,-4,288.6,-75.0,Captured Image 1213181209.fits,102.77710350048805,533.0,30.0
13,-4,288.6,-70.0,Captured Image 1213181434.fits,87.689460745496,531.0,5.0
14,-3,280.0,-95.0,Captured Image 1213180236.fits,55.21204826968243,538.0,173.0
15,-3,280.0,-90.0,Captured Image 1213175941.fits,69.8104718958545,536.0,171.0
16,-3,280.0,-90.0,Captured Image 1213181519.fits,95.03955109440157,536.0,171.0
17,-3,280.0,-85.0,Captured Image 1213180628.fits,80.1757470469726,535.0,166.0
18,-3,280.0,-80.0,Captured Image 1213180800.fits,93.00818667492615,535.0,159.0
19,-3,280.0,-75.0,Captured Image 1213181011.fits,91.09562676907808,534.0,148.0
20,-3,280.0,-70.0,Captured Image 1213181255.fits,92.11520008204869,533.0,132.0
21,-3,285.2,-95.0,Captured Image 1213180323.fits,226.37390572371746,537.0,179.0
22,-3,285.2,-90.0,Captured Image 1213180057.fits,355.3135330236672,536.0,177.0
23,-3,285.2,-90.0,Captured Image 1213181557.fits,365.29913164736683,536.0,177.0
24,-3,285.2,-85.0,Captured Image 1213180713.fits,380.79422605285714,535.0,173.0
25,-3,285.2,-80.0,Captured Image 1213180838.fits,391.8271430443357,535.0,165.0
26,-3,285.2,-75.0,Captured Image 1213181114.fits,404.55887650200043,534.0,154.0
27,-3,285.2,-70.0,Captured Image 1213181332.fits,322.08735322820394,533.0,140.0
28,-3,288.6,-95.0,Captured Image 1213180423.fits,103.5734526687925,536.0,184.0
29,-3,288.6,-90.0,Captured Image 1213180150.fits,178.0126238733906,536.0,182.0
30,-3,288.6,-90.0,Captured Image 1213181634.fits,183.10197845041807,536.0,181.0
31,-3,288.6,-85.0,Captured Image 1213180531.fits,225.80285375468978,535.0,177.0
32,-3,288.6,-80.0,Captured Image 1213180921.fits,269.8849959234809,534.0,169.0
