,energy_list,real_Ni,imag_Ni,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
0,848.9,0.001610863218006243,0.0002539380228207971,0.0011470715561663956,0.0008840980572616257,5.3424786647614814e-05,7.291292801499724e-05,0.00035750058375166876,0.00031078677426624635,0.0001137311815389337,7.776544742320581e-05,4.248593916799639e-05,5.30274180015118e-05,8.837230855172799e-05,8.478249216858435e-05,3.3587317010175714e-05,2.9811056811176307e-05,4.105253221979944e-05,3.8286747931913044e-05
1,849.2,0.0019202985076384011,0.0002830395260579347,0.0014196370433281515,0.0013433312455352164,5.0988801806264355e-05,9.804662836420959e-05,0.00040435118926162846,0.00046321683536626674,0.000124629373302065,0.00010549593624190458,4.9757257859214495e-05,6.751954048799116e-05,0.00010408476898777977,0.00011626809855648736,3.52101482687929e-05,3.187912202536323e-05,3.918236581265743e-05,4.489051411331825e-05
2,849.5,0.00220307385924087,0.00032019538242950143,0.0018935471487546709,0.0018524622508729201,7.980485928861669e-05,0.00012591122189403866,0.000609828594121068,0.0006322091299852396,0.00017018299481294378,0.00013623947135931616,7.874012986986402e-05,8.358629933605302e-05,0.0001363348781737596,0.0001511747621933283,3.5560147682887734e-05,3.417189212231806e-05,4.082888767454109e-05,5.221181013635506e-05
3,849.8,0.0024832137454081768,0.0003704408336695364,0.002722777382004931,0.0024435683614113276,0.0001096853980842386,0.00015826228936089985,0.0008066894031531711,0.0008284108480812012,0.0002576586955835559,0.00017193301835789318,9.286501862794021e-05,0.00010223996456576532,0.00019624298018556277,0.00019170174239670324,5.044813795767272e-05,3.683382078146699e-05,5.9205772117566166e-05,6.071190691087203e-05
4,850.1,0.0028836550256040273,0.00044055596108902523,0.004430325801787193,0.0034313271555012005,0.00017413210907091508,0.00021232204414753332,0.001321447665545217,0.0011562707179247156,0.0003563142841999498,0.00023157817226772377,0.00011544091120407149,0.00013341088556313778,0.00030587814913482774,0.0002594237306829142,6.543244832201176e-05,4.1281995813728596e-05,7.372912795800288e-05,7.491586317178193e-05
5,850.2,0.003074157750332151,0.0004699165643876731,0.004524274044470373,0.0039586204429430056,0.00018092443553596998,0.00024118065415465237,0.0014032994022530353,0.0013312914918468762,0.00034555363834556116,0.00026341842463830956,0.0001292895520787692,0.00015005079553269445,0.0002986710636962324,0.0002955756232797648,8.1467028008481e-05,4.3656556131401025e-05,8.621419537247895e-05,8.249833253202265e-05
6,850.3,0.003299468068247193,0.0005032501372180091,0.004913492699346941,0.004630545898572165,0.0002117961953992138,0.0002779549411400481,0.0015301949196960122,0.0015543190100479195,0.0003773974702819163,0.0003039921937170872,0.00014056812402604834,0.00017125489456867255,0.0003105878706479871,0.0003416436796793564,7.705249190975104e-05,4.668243861724067e-05,8.706745102757945e-05,9.216061024542174e-05
7,850.4,0.003556860151226765,0.0005417359738904317,0.005598873338440796,0.005463194452759789,0.0002540211453415732,0.000323525557096247,0.0018766894344452573,0.0018306942225337587,0.0004496816390738259,0.0003542711195686954,0.00016514407887620886,0.0001975309676914367,0.0003787590677615526,0.0003987311143553307,7.849821363669143e-05,5.0432105571913334e-05,9.463901151632636e-05,0.00010413408364313341
8,850.5,0.0038370142894880877,0.0005874257802213666,0.006497762028235849,0.0064502788327906275,0.00030987576901486024,0.0003775484013953462,0.0023309916234890374,0.0021583302388343446,0.0005656990618484138,0.0004138755494367956,0.00020398994165754902,0.0002286806060563695,0.0004972910280740466,0.0004664068639633552,8.580011271120173e-05,5.4877243514759244e-05,0.00010774407359381764,0.00011832834184025122
9,850.6,0.004123256162984713,0.0006437685862923613,0.006483800821264457,0.007549844263285091,0.0003225782744675591,0.0004377273012442312,0.0024529316115458394,0.002523301303717157,0.0006039335892669232,0.00048027207228041235,0.0002251288802113115,0.0002633798336111751,0.0005204819078712145,0.0005417944562069464,9.149423526655959e-05,5.982891746950254e-05,0.00012068339191220173,0.00013414007581235183
10,850.7,0.004391967348336295,0.0007161647815075026,0.0076894762323912735,0.00867461374900418,0.00046517327529024897,0.0004992856117885453,0.003327289093846337,0.0028966381744170537,0.0007997116176476889,0.0005481905251357072,0.00032969200764711046,0.000298874431066933,0.0006634572617929403,0.0006189100702539372,0.0001222744313472171,6.489409286795125e-05,0.0001796706461308581,0.00015031424371078148
11,850.8,0.00461439742237408,0.0008122889388496749,0.008172882232116173,0.009693486841252206,0.0005467238130355547,0.0005550482431669662,0.003536546844869003,0.0032348255956885503,0.0008127089843883334,0.0006097144951224419,0.000379981251784644,0.0003310272327983263,0.000705830993340925,0.0006887652940506877,0.00012415990243554807,6.948238494603574e-05,0.00022407969574062846,0.000164965623100467
12,850.9,0.0047598238827350325,0.0009417658215706815,0.008120776425225731,0.010450973898329349,0.00066032281618551,0.0005965052919977695,0.0037642814483145348,0.003486252977988183,0.0008293398735484399,0.0006554548442586907,0.000424982602841608,0.000354931418064973,0.000747068091221739,0.0007406995617213711,0.00013471859136514455,7.289357706572372e-05,0.0002326522242661055,0.00017585827532619873
13,851.0,0.004799672926461553,0.001114738138853824,0.008517531148926883,0.010805609065495164,0.0006949601886014394,0.0006159143727272057,0.004049255069146015,0.0036039645493197753,0.000828377428447372,0.0006768692515552954,0.00044660289192103344,0.0003661227178486425,0.0008531296732102116,0.0007650137959052446,0.00010793692085896794,7.449060592093367e-05,0.0002460319920177546,0.00018095792357346644
