Unnamed: 0,path,width,thickness,N,a,b,divergenz,sigma,darkcurrent,E_offset,density,amplituede_real_NiO_0,amplituede_real_NiO_1,amplituede_real_NiO_2,amplituede_real_NiO_3,amplituede_imag_NiO_0,amplituede_imag_NiO_1,amplituede_imag_NiO_2,amplituede_imag_NiO_3,sigma_real_NiO_0,sigma_real_NiO_1,sigma_real_NiO_2,sigma_real_NiO_3,sigma_imag_NiO_0,sigma_imag_NiO_1,sigma_imag_NiO_2,sigma_imag_NiO_3,energy_real_NiO_0,energy_imag_NiO_0,energy_real_NiO_1,energy_imag_NiO_1,energy_real_NiO_2,energy_imag_NiO_2,energy_real_NiO_3,energy_imag_NiO_3,amplituede_real_Ni_0,amplituede_real_Ni_1,amplituede_real_Ni_2,amplituede_real_Ni_3,amplituede_imag_Ni_0,amplituede_imag_Ni_1,amplituede_imag_Ni_2,amplituede_imag_Ni_3,sigma_real_Ni_0,sigma_real_Ni_1,sigma_real_Ni_2,sigma_real_Ni_3,sigma_imag_Ni_0,sigma_imag_Ni_1,sigma_imag_Ni_2,sigma_imag_Ni_3,energy_real_Ni_0,energy_imag_Ni_0,energy_real_Ni_1,energy_imag_Ni_1,energy_real_Ni_2,energy_imag_Ni_2,energy_real_Ni_3,energy_imag_Ni_3,delta
0.0,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/OCP_01.h5,116.36939334872756,3.942524349655475,0.0456856861836313,0.0983354731937444,9.230809563099554e-06,0.1077172084685245,4.828684543119246,2.589079201869712e-05,0.5753418739369858,1.3224561033824414,-0.0024800960180149,-6.21189601794963e-05,0.0004088153394857,0.0006517540724387,0.0031143888688203,0.000419690379027,0.0005245549510384,0.0011792764325262,1.205081949989148,0.5632905256320506,0.8223800686938456,5.751550873116961,0.3967682375066984,0.4748125822508083,1.6781338626535025,5.262370762601966,850.4441761888473,850.8566427816747,851.014220490356,852.7625546421691,851.5356302331761,851.6792202132247,859.0118419523105,856.842202324261,,,,,,,,,,,,,,,,,,,,,,,,,
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/1p2_01.h5,117.042921892684,4.548688415692902,0.0297241186647047,0.0999952074563794,1.5946698340820426e-05,0.1333535682839929,4.636538014983407,2.574229578328658e-05,0.6398514665655074,1.3735786609225924,-0.0024576774442286,0.00050475726317,0.0004618735389407,0.0002027153168413,0.0037257889278462,0.0007490151637399,0.0005108204965553,0.0002286346634648,1.2497009553150165,0.2435237306096065,0.343887641208713,3.3905862598700707,0.4525001355377922,0.4251880566610698,4.943901923141057,7.954357047974092,850.3625617343034,850.7883161977788,851.6523794707963,852.8356798038859,854.3624543418181,854.5439745156552,857.5175086951507,856.8252629619878,,,,,,,,,,,,,,,,,,,,,,,,,
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/1p6_01.h5,123.8308857416136,2.866399526136412,0.0554659018000671,0.0993204168633073,3.698555213960877e-06,0.0477873560659794,3.638516361655713,2.39485823453583e-05,0.7209803754975543,1.4941921613516769,-0.0020798995877915,-0.0006540549733435,0.0004410150877918,0.0007439616573354,0.0020941235586087,0.0005289254596228,0.0005029093170049,0.0014527127651567,1.5782796685216316,0.3102176781760054,0.4991885871812084,4.847730555357069,0.4903535567522384,0.3727464024917016,1.0272277252698416,6.069508171749771,850.3128335718501,850.5816870297305,850.8525387723151,852.6461166851366,852.8208535155366,853.0513347981249,857.8736451301504,856.7681529700723,,,,,,,,,,,,,,,,,,,,,,,,,
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/1p6_core.h5,127.53343144269076,,0.0986942671802311,0.0998710053199124,1.3427840917865522e-05,0.0587176156449997,3.794946072414654,2.5946542351410552e-05,0.2425167727167427,0.6072939364075476,,,,,,,,,,,,,,,,,,,,,,,,,-0.0063053227358098,0.0045192968507143,0.0044173091802581,0.0010263786161521,0.0019402210284708,0.0009353645929698,0.0007641430133136,0.0012171976593043,1.0788292328322573,0.5612280505150968,1.8434376262296908,3.630916877783141,0.4056800568183432,0.6306586693929064,1.0330020122653811,5.945663264273247,852.0309641219995,851.783000026938,851.1886025231869,853.3254916721736,851.5176098076203,852.2385983463032,856.8858670635692,859.4811990680743,
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/OCP_02.h5,73.65908782586929,22.83898872182983,0.0898895079446874,0.0998722375833281,5.328265014424215e-06,0.1482398174110502,5.122417081856507,2.7278349272435703e-05,0.2009429265786957,1.0007437853200485,-0.0009165933368709,-0.0011355263366364,0.0013765736163827,0.0006341173856331,0.0020958027242546,0.0010886763144687,0.0009082573348934,0.0005290394532526,0.8428906187113494,0.8040666398145314,1.9493887674121235,3.74392919272858,0.3628800067981449,0.3857020949711315,1.5135250938112466,5.474267196965412,851.0434441517417,851.078057723471,852.8403755301282,851.9034455209588,851.8609989363725,852.648325588255,857.4884585369111,856.1685214586741,,,,,,,,,,,,,,,,,,,,,,,,,
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/1p2_02.h5,72.08535114198038,23.967138649079534,0.0347283101479164,0.099983222511797,1.128718958746396e-05,0.1992132970375656,4.9465629939923135,2.661237109135229e-05,0.1515628082176838,1.1529196336978338,-0.001398643727072,-0.0010119996856793,0.0014253762874558,0.0002045627943906,0.002136709191468,0.0017233949149237,0.0005163490949928,0.000986964659914,0.2235433858160822,0.3399578452183981,1.983786858271288,3.2612552085970874,0.3754894538212943,0.8359397399430466,4.9748918254550745,6.362680401371516,851.3840326823073,851.0844273880004,852.2497116805239,851.9947678398852,852.3031463033824,851.9467393431903,857.4254344754246,856.8039602552959,,,,,,,,,,,,,,,,,,,,,,,,,
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/1p6_02.h5,65.64497663811352,29.370246053627053,0.0462384650857301,0.0938022568004991,4.247545205497779e-06,0.0223599025541518,3.3783210959768777,2.283773530031313e-05,0.8327426473087671,1.4808453510957431,-0.0033753679757303,0.0056355226463626,0.0013147519197932,0.0002340145713372,0.0032324105097566,0.0002366016553226,0.0007996302874363,0.0011136177328038,0.8483467210010874,0.4942803002456086,0.4276382125874303,6.66485888339666,0.7444877962077687,0.086396413909024,1.234569561971926,8.138863568087961,850.8882147477649,851.2186300243559,850.9458896800734,852.1022829428238,851.8092756033791,853.052494483092,859.4688786646923,856.3859096351496,,,,,,,,,,,,,,,,,,,,,,,,,
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/1p2_02_nkgauss.h5,73.43562275326025,22.54927753504369,0.0276186442162586,0.0991658020939992,1.143773454209818e-05,0.1488441884906902,5.456791750369029,3.035021012608791e-05,,,-0.0011022406409017,0.0040750209272052,0.0004190302970511,0.0014587154464859,0.0018083423299966,0.0009029480184947,0.0007864359357981,0.0003317579903255,0.1577181300979739,0.3881154138570822,0.3676904794909708,5.1206563178934905,0.482964934760468,1.327854745285202,2.7622191368762805,5.462999241049239,851.246214739535,851.919791476096,851.270749278275,852.7186286078196,851.6614645176761,854.4154277500459,858.3725199714052,855.1889347976582,-0.0050030206965986,0.0049886074771768,0.0044443823756401,0.0010140771531069,0.0019405000658167,0.0013233349115696,0.001086336077467,0.0003048558253025,1.1365699120310877,0.4384111514049443,1.9136307310750047,4.797574584463492,0.4098524128111828,0.9969158472330965,1.1925924489591924,6.108351280242346,852.5134932953189,851.7814500675341,851.0113875174051,852.4913845542455,851.5233431758962,854.0780731146141,855.0426165266354,858.3039119344432,
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/OCP_02_mix.h5,73.5574977433574,23.018045904510508,0.0413020777077759,0.0989137913036748,5.508653794915684e-06,0.1644624530363722,5.079619982389191,2.663449567574881e-05,0.3701320752094416,1.4656676739183767,-0.0017358251476697,0.0022301573057924,0.0004991420453252,0.0009200938198402,0.0029073288003433,0.0016243638097561,0.0012060221655658,0.0007094174167805,0.7204935032330385,1.048449080661674,0.3376941304746724,3.0117370921565274,0.344847254768801,0.5137281534438515,1.9301879245895703,5.99941239912814,850.436981993047,851.0545201284666,850.5792965730336,851.9110132664156,853.9483442754347,852.7480333571154,857.4134772427938,855.9521219535318,,,,,,,,,,,,,,,,,,,,,,,,,0.9606426635087668
,/pscratch/sd/k/kandrle/MCMC/Analytic_clean/1p2_02_mix.h5,87.46507995806141,18.612348959649267,0.1164884516951474,0.0988480437890038,1.8883328349292317e-05,0.0194925366719353,5.275646724199284,2.549351911655495e-05,-0.1935380292706343,1.4966970913810211,-0.0015768659853085,-0.0014697945935445,0.0009567101010558,0.000938899389318,0.0008664428984231,0.0007849006555574,0.0005076528523859,0.0001024281340127,1.2452412057304316,0.3082052044763727,0.4452232242049364,4.002359425663959,0.264783238573991,0.4663588417657112,4.910393043427586,5.764969907832574,850.5402332583749,850.5965228392037,850.9134184509738,852.50937381177,853.1971455460867,854.4828918175349,859.4576798438493,856.665404645543,,,,,,,,,,,,,,,,,,,,,,,,,0.2744812384880409
