,energy_list,real_Ni,imag_Ni,real_NiO,imag_NiO,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
0,848.9,0.0021516059879146962,9.530238384052286e-05,0.0002635682682885111,0.00029259864659913034,0.0004896662886098525,0.00045455493493873795,6.356654615709058e-05,7.656547607864802e-05,0.00020043363518292814,0.0001939813618233208,4.6212255014282204e-05,4.9383469693591846e-05,4.262811194917414e-05,4.732877195476799e-05,4.638723918880584e-05,4.7984211731120294e-05,3.0197842693540524e-05,3.119903868370609e-05,3.9523105879038034e-05,3.368891978678367e-05
1,849.2,0.002539469186770349,0.0001063398380282385,0.0002932372107585024,0.00034116932363135663,0.0007204884269294404,0.0006316438374404833,6.543130688282066e-05,9.585915233874998e-05,0.00027598038202029094,0.0002622909313035358,6.310685372553549e-05,5.732893957994397e-05,4.585155263157457e-05,5.4416837553593174e-05,6.217989593576093e-05,5.534556963564556e-05,3.321919345737778e-05,3.155341588990485e-05,3.729993772089462e-05,3.508270758912043e-05
2,849.5,0.002925822187500819,0.000123255939429852,0.00032524515200180166,0.0004021991867179974,0.0010243433915934018,0.0008468550175953104,0.00011269482023586037,0.00012005071444994487,0.00034276426768210035,0.00034525085346155616,6.14647562824126e-05,6.677506603796589e-05,5.8307651738926454e-05,6.32494730625371e-05,7.537826424173502e-05,6.411045383146021e-05,2.5866126339167277e-05,3.201400183623665e-05,5.725908770110617e-05,3.678497811395308e-05
3,849.8,0.00334122694779275,0.00015202739498253537,0.0003623469976987927,0.0004794277105847078,0.0013650962127012404,0.0011225991414832263,0.00012281726722288867,0.00015192481358156172,0.00047722123318045216,0.00045147999923865804,7.85185752361463e-05,7.863855964786486e-05,8.375622420697813e-05,7.482023354952796e-05,0.00010203236391223196,7.513356655870055e-05,4.267653343087498e-05,3.263939079139036e-05,4.4338733303641884e-05,3.897572556348442e-05
4,850.1,0.004016829718918612,0.0002028077535528912,0.00043871109507614736,0.0005777283460111222,0.0020861527836761474,0.0016270354822829254,0.0002329182296263686,0.00020978625938614998,0.000685201609215646,0.0006458443127013682,0.0001174427845767593,0.00010047393700225974,0.00010640651134549384,9.585229594213361e-05,0.00011564672230176325,9.541331241630636e-05,3.362197429779098e-05,3.3765422498041726e-05,7.232297299729741e-05,4.297809160428002e-05
5,850.2,0.004378103548421818,0.00022736350376932222,0.0004989913417491737,0.0006166867113938594,0.001953689438080619,0.0019145150309503606,0.00021905776895944916,0.00024279868353977238,0.0006396893685204603,0.00075661015418689,0.00010628008042029009,0.00011290991315856425,0.00010067064311815846,0.00010784812995623572,0.00010463285931107916,0.00010696376945133256,3.5368192814849066e-05,3.440862777756936e-05,5.8796687203960584e-05,4.5259385857548375e-05
6,850.3,0.00483144613637317,0.0002573628744452816,0.0005999811613585106,0.0006599000072623895,0.002463238362366131,0.002293795731557183,0.00027140134528688226,0.0002874892484774306,0.0008780065452056787,0.0009026621680449569,0.00010057737030178213,0.00012901610561071947,0.00011832799257990819,0.00012399812033814077,0.00015183942130124055,0.00012194223402045219,3.902356402196956e-05,3.530279996869351e-05,5.770856822714652e-05,4.82813685926184e-05
7,850.4,0.005374577439741553,0.0002945059557859255,0.0007642240601206294,0.0007086992632513269,0.002963165728180795,0.0027798322184802915,0.000374187598726931,0.00034820423667759426,0.001032476779652423,0.0010895647124134268,0.00014317226823476814,0.00014876638655678823,0.00015728717355983817,0.0001456623155567042,0.00017138284373573547,0.0001403665960185608,4.051257863193098e-05,3.658672452720562e-05,5.81004686942806e-05,5.219011415932278e-05
8,850.5,0.005984802172207041,0.0003414525276897786,0.0010175003712027614,0.0007651256361151798,0.0037009480214745057,0.003374172974415563,0.0004346913590867491,0.000430412925949377,0.0011973443512021183,0.0013175101126892215,0.00015366519596374533,0.00017097708841837256,0.0001758174653291911,0.00017433105491083836,0.00020318674007419345,0.00016121290764749009,3.9194910517227605e-05,3.84753496771842e-05,8.778377698831013e-05,5.7049379395349354e-05
9,850.6,0.006615813483761187,0.00040232229776718633,0.0013825224915655948,0.0008321470055868134,0.0039365161074349795,0.0040480477104152006,0.0004962402975570593,0.0005389989912219367,0.0014452299343982466,0.0015747688972765378,0.00017606841506233895,0.00019276940152403925,0.00019511410033055314,0.00021084869646118725,0.00021175513290294797,0.0001818968296312602,4.3295419346270604e-05,4.1230057534421736e-05,8.344300325003679e-05,6.269983843735531e-05
10,850.7,0.007200273216609442,0.0004831894113309621,0.0018678203126056689,0.0009137945880374051,0.00493844886698839,0.004725836951528312,0.0007027997039108253,0.0006744980179971003,0.0017866154681629098,0.0018314420666647531,0.00018659961261370027,0.00020963286575302164,0.00029400972162918883,0.0002540405406152947,0.000277104776311886,0.00019827542968442252,4.3478672593767756e-05,4.504551307624103e-05,0.00011008576735028185,6.859780274869016e-05
